date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:12:36	327/327	---M-Z	200	added ('OK')	text/plain	date:Thu,%2010%20Nov%202022%2003:13:16%20GMT	https://ladanspa.com/robots.txt		(from )
20:12:36	76030/76030	---M-Z	200	added ('OK')	text/html	etag:W/%22966b7304365b77348a579bb6f57dd0de--gzip%22	https://ladanspa.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web111/Site111/ladanspa.com/index.html	(from )
20:12:37	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Sun,%2013%20Nov%202022%2014:43:39%20GMT	http://static1.squarespace.com/static/544521d3e4b090edefe87c6a/t/57d859832994cadff8f00a33/1473796484266/ladan2.png?format=1500w	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web111/Site111/static1.squarespace.com/static/544521d3e4b090edefe87c6a/t/57d859832994cadff8f00a33/1473796484266/ladan2.026f7.delayed	(from https://ladanspa.com/)
20:12:38	13057/13057	---M--	200	added ('OK')	image/png	etag:CIyxl8jgju0CEAE=	https://images.squarespace-cdn.com/content/544521d3e4b090edefe87c6a/1473796483793-4P62GEZPVTOY1A0KGL6Q/ladan2.png?content-type=image%2Fpng	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web111/Site111/images.squarespace-cdn.com/content/544521d3e4b090edefe87c6a/1473796483793-4P62GEZPVTOY1A0KGL6Q/ladan25d45.png	(from https://ladanspa.com/)
20:12:38	43523/43523	---M-Z	200	added ('OK')	text/javascript	etag:%22f4b230dad791cfb9f8ea64c9781aadfb%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web111/Site111/assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	(from https://ladanspa.com/)
20:12:39	19298/19298	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2013%20Nov%202022%2014:43:40%20GMT	http://use.typekit.net/ik/gvXBc4195YByOf_Meg0T2qZbV8Dg_r3FjvYnW7Yv9-GfeCIIfFHN4UJLFRbh52jhWD9XF29kwAbDZQsKw2q3ZAs8Zc9tFhwhjs7VMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0ShyTSc80OW4y-euyieNCdeBG-PoDSWmyScmDSeBRZPoRdhXCHKoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0dcmXOeBDOcu8OeUyZeB0SagyOcFzdPUCdhFydeyzSabCShyTSc80OW4y-euyieNCdeBG-PoDSWmyScmDSeBRZPoRdhXCSaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0dcmXOYiaikoySkolZPUaiaS0deBqjAoDSeI0jhNlOYiaikoD-e8k-AtlScBGdABXdhUCjAyTO1FUiABkZWF3jAF8OcFzdPUaiaS0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPJ4Z1mXiW4yOWgXJ6Z8iW4zSeI7fbKemsMMeMw6MKG4fJsmIMMjgfMfH6qJxubbMg6BJMJ7fbKgmsMMeMS6MKG4fJgmIMMj2kMfH6qJ689bMg6sJMJ7fbKTpsMgeMw6MKG4fHyoIMIjgkMfH6GJttjgIMIj2PMfH6GJojjgIMIjIPMfqMYKTOePg6.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web111/Site111/use.typekit.net/ik/gvXBc4195YByOf_Meg0T2qZbV8Dg_r3FjvYnW7Yv9-GfeCIIfFHN4UJLFRbh52jhWD9XF29kwAbDZQsKw2q3ZAs8Zc9tFhwhjs7VMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamT	(from https://ladanspa.com/)
20:12:41	45387/45387	---M-Z	200	added ('OK')	text/javascript	etag:%2259ca68fa9fa7a62685c0e9e60bba29d0%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-d039fda2dcc7e03b5e377-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web111/Site111/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-d039fda2dcc7e03b5e377-min.en-US.js	(from https://ladanspa.com/)
20:12:42	82046/82046	---M-Z	200	added ('OK')	text/javascript	etag:%2203e5ef7c77d113abf6178fce61ec6344%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web111/Site111/assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	(from https://ladanspa.com/)
20:12:43	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:%226831fbfbcaefb323e1bca77209107e61%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web111/Site111/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	(from https://ladanspa.com/)
20:12:54	245971/245971	---M-Z	200	added ('OK')	text/javascript	etag:%22ff401016dabf83b96a4ad64dfbd64596%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-9b2a74c45b27271fd111d-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web111/Site111/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-9b2a74c45b27271fd111d-min.en-US.js	(from https://ladanspa.com/)
